id,secCode,secName,orgId,announcementId,announcementTitle,announcementTime,adjunctUrl,adjunctSize,adjunctType,storageTime,columnId,pageColumn,announcementType,associateAnnouncement,important,batchNum,announcementContent,orgName,tileSecName,shortTitle,announcementTypeName,secNameList
,000005,世纪星源,gssz0000005,1202251997,2015年年度报告,1461686400000,finalpage/2016-04-27/1202251997.PDF,2745,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1202252234,,,,,世纪星源,2015年年度报告,,
,000005,世纪星源,gssz0000005,1202251996,2015年年度报告摘要,1461686400000,finalpage/2016-04-27/1202251996.PDF,477,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,世纪星源,2015年年度报告摘要,,
,000004,国农科技,gssz0000004,1202281263,2015年年度报告摘要,1461945600000,finalpage/2016-04-30/1202281263.PDF,253,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,国农科技,2015年年度报告摘要,,
,000004,国农科技,gssz0000004,1202281264,2015年年度报告,1461945600000,finalpage/2016-04-30/1202281264.PDF,2178,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1202283991,,,,,国农科技,2015年年度报告,,
,000001,平安银行,gssz0000001,1202033389,2015年年度报告摘要,1457539200000,finalpage/2016-03-10/1202033389.PDF,752,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,平安银行,2015年年度报告摘要,,
,000001,平安银行,gssz0000001,1202033390,2015年年度报告,1457539200000,finalpage/2016-03-10/1202033390.PDF,3577,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1202033933,,,,,平安银行,2015年年度报告,,
,000002,万  科Ａ,gssz0000002,1202041163,2015年年度报告摘要,1457884800000,finalpage/2016-03-14/1202041163.PDF,517,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,万  科Ａ,2015年年度报告摘要,,
,000002,万  科Ａ,gssz0000002,1202041162,2015年年度报告,1457884800000,finalpage/2016-03-14/1202041162.PDF,5100,PDF,,250101||250102||251302,SZZB,01010503||010112||01030101,1202041226,,,,,万  科Ａ,2015年年度报告,,
,000006,深振业Ａ,gssz0000006,1202100061,2015年年度报告,1459267200000,finalpage/2016-03-30/1202100061.PDF,2550,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1202101080,,,,,深振业Ａ,2015年年度报告,,
,000006,深振业Ａ,gssz0000006,1202100046,2015年年度报告摘要,1459267200000,finalpage/2016-03-30/1202100046.PDF,333,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,深振业Ａ,2015年年度报告摘要,,
,000008,神州高铁,gssz0000008,1202251537,2015年年度报告摘要,1461686400000,finalpage/2016-04-27/1202251537.PDF,282,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,神州高铁,2015年年度报告摘要,,
,000008,神州高铁,gssz0000008,1202251546,2015年年度报告,1461686400000,finalpage/2016-04-27/1202251546.PDF,2937,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1202252228,,,,,神州高铁,2015年年度报告,,
,000007,全新好,gssz0000007,1202445705,2015年年度报告（更新后）,1467388800000,finalpage/2016-07-02/1202445705.PDF,2536,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,全新好,2015年年度报告（更新后）,,
,000007,全新好,gssz0000007,1202445706,2015年年度报告摘要（更新后）,1467388800000,finalpage/2016-07-02/1202445706.PDF,217,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,全新好,2015年年度报告摘要（更新后）,,
,000007,全新好,gssz0000007,1202229061,2015年年度报告摘要（已取消）,1461340800000,finalpage/2016-04-23/1202229061.PDF,215,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,全新好,2015年年度报告摘要（已取消）,,
,000007,全新好,gssz0000007,1202229062,2015年年度报告（已取消）,1461340800000,finalpage/2016-04-23/1202229062.PDF,2538,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1202230636,,,,,全新好,2015年年度报告（已取消）,,
,000004,国农科技,gssz0000004,1203525398,2016年年度报告（更新后）,1494950400000,finalpage/2017-05-17/1203525398.PDF,2233,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,国农科技,2016年年度报告（更新后）,,
,000004,国农科技,gssz0000004,1203300327,2016年年度报告（已取消）,1492185600000,finalpage/2017-04-15/1203300327.PDF,2227,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,国农科技,2016年年度报告（已取消）,,
,000004,国农科技,gssz0000004,1203275927,2016年年度报告摘要,1491840000000,finalpage/2017-04-11/1203275927.PDF,211,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,国农科技,2016年年度报告摘要,,
,000004,国农科技,gssz0000004,1203275928,2016年年度报告（已取消）,1491840000000,finalpage/2017-04-11/1203275928.PDF,2227,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1203276001,,,,,国农科技,2016年年度报告（已取消）,,
,000007,全新好,gssz0000007,1203323926,2016年年度报告,1492531200000,finalpage/2017-04-19/1203323926.PDF,2547,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,全新好,2016年年度报告,,
,000007,全新好,gssz0000007,1203323939,2016年年度报告摘要,1492531200000,finalpage/2017-04-19/1203323939.PDF,357,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,全新好,2016年年度报告摘要,,
